id,name,type,portion,calories,fat,carbs,sugar,protein,vegan,vegetarian,keto,diabetic,pescatarian 
246,frog,meat,45g,33,.1g,0g,0g,7.4g,0,0,1,,0
247,duck,meat,140g,472,40g,0g,0g,27g,0,0,1,,0
248,hen,meat,257g,666,47g,0g,0g,57g,0,0,1,,0
249,goose,meat,85g,259,19g,0g,0g,21g,0,0,1,,0
250,grouse,meat,140g,335,17g,0g,0g,45g,0,0,1,,0
251,pheasant,meat,127g,304,15g,0g,0g,41g,0,0,1,,0
252,quail,meat,85g,193,12g,0g,0g,21g,0,0,1,,0
253,squab,meat,111g,236,14g,0g,0g,27g,0,0,1,,0
254,pigeon,meat,250g,175,10g,0g,0g,28g,0,0,1,,0
255,goat,meat,340g,486,10g,0g,0g,92g,0,0,1,,0
256,rabbit,meat,85g,175,7.1g,0g,0g,26g,0,0,1,,0
257,mutton,meat,85g,250,18g,0g,0g,21g,0,0,1,,0
258,bison,meat,87g,207,13g,0g,0g,21g,0,0,1,,0
259,  garlic  ,vegetable,3g,4.5,0g,1g,0g,.2g,1,1,0,1,0
260,  onion  ,vegetable,94g,41,.2g,9.5g,4.4g,1.3g,1,1,0,1,0
261,  bell pepper  ,vegetable,114g,32,.2g,7.5g,2.9g,1.1g,1,1,0,1,0
262,  carrot  ,vegetable,46g,16,3.8g,,1.6g,.3g,1,1,0,1,0
263,  tomato  ,vegetable,123g,22,.3g,4.8g,3.2g,1.1g,1,1,0,1,0
264,  scallion  ,vegetable,15g,4.8,0g,1.1g,.3g,.3g,1,1,0,1,0
265,  potato  ,vegetable,173g,161,.2g,37g,2g,4.3g,1,1,0,1,0
266,  red onion  ,vegetable,94g,41,.2g,9.5g,4.4g,1.3g,1,1,0,1,0
267,  celery  ,vegetable,40g,6.4,.1g,1.2g,.5g,.3g,1,1,0,1,0
268,  chili pepper  ,vegetable,45g,18,.2g,4g,2.4g,.8g,1,1,0,1,0
269,  canned tomato  ,vegetable,190g,30,.5g,6.6g,4.8g,1.5g,1,1,0,1,0
270,  jalapeno  ,vegetable,14g,4.1,.1g,.9g,.6g,.1g,1,1,0,1,0
271,  avocado  ,vegetable,201g,322,29g,17g,1.3g,4g,1,1,0,1,0
272,  zucchini  ,vegetable,200g,30,.7g,5.4g,3.4g,2.3g,1,1,0,1,0
273,  shallot  ,vegetable,43g,31,0g,3.3g,7.1g,1.1g,1,1,0,1,0
274,  cherry tomato  ,vegetable,17g,3.1,0g,.7g,.5g,.1g,1,1,0,1,0
275,  sweet corn  ,vegetable,100g,80,1g,18g,6g,3g,1,1,0,1,0
276,  cucumber  ,vegetable,201g,30,.2g,7.3g,3.4g,1.3g,1,1,0,1,0
